-31124,267766,-31108,267780,True
-30878,267830,-30866,267842,True
-30612,267794,-30598,267808,False
-33448,267080,-33438,267090,False
-32262,267416,-32250,267426,False
-33488,266676,-33478,266686,True
-33366,266666,-33352,266680,False
-31712,266674,-31702,266682,False
-30978,266614,-30966,266626,True
-30520,266706,-30510,266714,False
-31138,266478,-31124,266490,False
-33094,266452,-33080,266466,False
-30710,266314,-30690,266332,False
-30108,266390,-30100,266400,True
-31174,266176,-31156,266192,-1
-30844,266162,-30836,266170,True
-31034,265984,-31010,266002,-1
-31228,265840,-31208,265858,True
-31300,265924,-31290,265934,True
-30890,265926,-30882,265932,False
-40648,265718,-40632,265732,True
-39426,265802,-39412,265818,False
-37806,265810,-37796,265818,False
-35408,265708,-35392,265720,True
-30168,265896,-30146,265916,True
-40760,265646,-40750,265654,False
-37398,265716,-37384,265728,-1
-40370,265508,-40338,265540,False
-37018,265514,-36988,265540,True
-30292,265562,-30284,265570,True
-42170,265374,-42142,265402,False
-41728,265332,-41716,265344,True
-37960,265460,-37950,265472,True
-37856,265814,-37840,265824,False
-35810,265466,-35794,265486,False
-30942,265478,-30928,265490,True
-42280,265296,-42260,265316,-1
-36278,265314,-36258,265332,False
-42096,265662,-42086,265674,True
-42260,264984,-42246,264994,True
-40812,265562,-40804,265568,False
-32394,264970,-32382,264986,True
-42406,264742,-42382,264766,True
-36352,264616,-36340,264626,True
-42366,264518,-42356,264526,True
-37136,264510,-37118,264526,-1
-32120,264490,-32110,264498,False
-31520,264464,-31500,264486,False
-42338,264416,-42330,264424,True
-39992,264228,-39968,264248,True
-42912,264660,-42900,264670,True
-35602,264130,-35590,264142,False
-42952,263926,-42942,263936,False
-30568,263938,-30560,263946,False
-41012,263900,-40998,263910,True
-31026,263796,-31014,263806,False
-30850,263886,-30836,263898,True
-30072,263778,-30048,263804,-1
-37158,263414,-37150,263422,False
-43686,263734,-43670,263752,True
-41478,263292,-41470,263300,False
-40608,263392,-40600,263400,True
-40696,263232,-40686,263240,True
-40496,263148,-40486,263158,False
-36458,263728,-36446,263742,True
-35308,263150,-35298,263162,True
-34990,263270,-34982,263280,True
-34128,263178,-34114,263192,False
-33566,263224,-33550,263238,True
-33064,263270,-33052,263282,True
-43292,263066,-43282,263076,False
-43360,263072,-43350,263082,True
-38580,263074,-38562,263086,True
-30610,262858,-30600,262870,False
-35352,262678,-35332,262694,True
-33298,262644,-33278,262664,True
-43648,262600,-43634,262610,False
-35348,262594,-35334,262604,False
-35286,262586,-35272,262596,True
-42136,262394,-42120,262406,False
-41730,262450,-41714,262466,True
-41620,262432,-41608,262444,True
-31210,262426,-31196,262440,False
-34040,262330,-34020,262348,True
-31220,262312,-31200,262334,True
-37186,262128,-37164,262146,False
-42194,262074,-42178,262088,True
-42170,262040,-42146,262064,-1
-34392,262150,-34382,262160,False
-43864,261882,-43838,261898,-1
-40844,261992,-40824,262012,-1
-42554,261810,-42540,261822,True
-42206,261812,-42192,261826,True
-42042,261806,-42018,261830,True
-41616,261778,-41596,261800,True
-34208,261816,-34198,261824,True
-30500,261688,-30490,261698,False
-42648,261518,-42622,261542,True
-42160,261586,-42146,261600,False
-41616,261310,-41604,261320,True
-32882,261342,-32862,261366,True
-31750,261290,-31734,261314,False
-42290,261088,-42280,261098,False
-42490,260974,-42478,260986,True
-41562,261012,-41550,261022,False
-34350,261042,-34334,261054,True
-34144,260980,-34120,261008,True
-42792,260644,-42782,260656,True
-37796,260620,-37776,260644,True
-42962,260566,-42954,260572,True
-40606,260550,-40584,260570,True
-37680,260320,-37668,260330,True
-33584,260414,-33576,260420,False
-37690,260266,-37678,260278,False
-37696,260286,-37684,260298,True
-40594,260160,-40582,260172,True
-37658,260240,-37638,260258,False
-31968,260064,-31950,260086,-1
-30802,260190,-30792,260202,False
-41600,260048,-41578,260074,True
-42320,259890,-42296,259920,True
-42716,259656,-42706,259664,-1
-41228,259556,-41216,259568,True
-37722,259648,-37712,259660,False
-41790,259452,-41778,259464,True
-41294,259470,-41286,259476,False
-43396,259874,-43386,259886,True
-41842,259426,-41824,259450,True
-41584,259334,-41574,259344,True
-40798,259366,-40788,259378,-1
-40378,259348,-40370,259354,False
-40364,259388,-40346,259404,True
-40326,259344,-40316,259352,True
-36350,259418,-36338,259428,False
-43320,259258,-43308,259268,False
-41324,259270,-41312,259286,False
-31502,259282,-31494,259290,True
-41544,258952,-41532,258964,True
-41046,258954,-41036,258964,False
-40672,258936,-40658,258948,False
-36712,258922,-36698,258936,-1
-40804,258908,-40782,258934,True
-36040,258808,-36020,258826,True
-43582,258758,-43570,258770,False
-43766,258712,-43756,258722,False
-36720,258716,-36710,258726,True
-36000,258708,-35986,258720,True
-35988,258748,-35974,258760,True
-36006,258684,-35990,258698,-1
-40784,258642,-40760,258668,True
-36352,258582,-36340,258594,True
-40952,258354,-40944,258362,True
-40256,258402,-40248,258410,True
-43950,258270,-43940,258280,True
-31468,258234,-31450,258250,False
-31200,258468,-31186,258486,False
-41806,257842,-41798,257850,False
-41294,257880,-41280,257898,False
-41056,257852,-41048,257860,True
-43122,257672,-43110,257682,True
-40084,257670,-40078,257678,True
-40090,257692,-40084,257700,True
-43816,257476,-43810,257482,False
-43598,257386,-43576,257408,True
-38514,257240,-38506,257248,True
-35428,257026,-35412,257042,False
-34702,257128,-34690,257138,False
-43392,256910,-43376,256924,True
-41748,256942,-41738,256952,True
-38594,257000,-38586,257008,False
-34652,256952,-34640,256964,True
-34324,256960,-34316,256968,True
-34484,256814,-34464,256832,True
-33802,256758,-33782,256778,False
-40692,256660,-40678,256674,True
-37540,256674,-37528,256684,True
-43146,256584,-43138,256590,False
-41932,256438,-41918,256454,True
-41630,256356,-41616,256370,True
-40860,256398,-40850,256408,True
-40570,256466,-40562,256472,-1
-35746,256400,-35726,256416,True
-35620,256290,-35612,256298,False
-34492,256286,-34476,256300,True
-41702,256144,-41680,256164,True
-38948,256214,-38926,256232,False
-36024,256234,-36004,256252,False
-33756,256220,-33744,256230,True
-33620,256170,-33610,256178,False
-41968,256036,-41952,256058,True
-34742,256038,-34730,256048,True
-34490,256010,-34482,256018,True
-34260,255970,-34242,255990,True
-40258,255914,-40248,255928,False
-42000,255830,-41986,255840,True
-41950,255798,-41942,255806,False
-30726,255646,-30700,255668,True
-38334,255582,-38322,255592,False
-33892,255590,-33880,255604,True
-43874,255404,-43862,255414,True
-41518,255440,-41508,255452,True
-41568,255434,-41544,255454,True
-31682,255426,-31674,255434,False
-36484,255280,-36472,255292,False
-35898,255208,-35880,255226,True
-35140,255170,-35122,255188,False
-34990,254996,-34970,255012,False
-34930,254894,-34918,254904,False
-34942,254774,-34930,254788,True
-34676,254748,-34664,254760,True
-38334,254646,-38314,254668,True
-34168,254570,-34154,254582,True
-31498,254662,-31486,254678,False
-30020,255188,-30000,255200,-1
-39022,254316,-39008,254328,True
-38358,254548,-38338,254566,False
-36960,254354,-36948,254368,True
-30164,254474,-30148,254490,False
-35306,254262,-35294,254276,True
-34328,254412,-34318,254424,True
