-4916,276044,-4884,276070,False
-7858,275506,-7846,275514,False
-6332,275484,-6322,275496,True
-7732,275414,-7720,275426,True
-4158,275294,-4144,275314,False
-6674,274910,-6638,274938,False
-11418,274810,-11394,274828,False
-11156,274846,-11134,274874,False
-6570,274882,-6560,274894,True
-11478,274716,-11456,274738,True
-11442,274774,-11420,274792,True
-7890,274590,-7858,274616,False
-5932,274604,-5922,274614,-1
-11822,274432,-11806,274454,True
-7944,274246,-7914,274268,False
-9598,273998,-9586,274010,-1
-8996,273952,-8988,273958,True
-8908,274016,-8900,274022,False
-5116,273800,-5106,273810,True
-11964,273718,-11944,273738,True
-6332,273650,-6322,273662,False
-12336,273546,-12322,273558,True
-5546,273538,-5530,273552,True
-12058,273450,-12040,273464,True
-10138,273154,-10124,273168,False
-6662,273392,-6656,273398,False
-12570,273116,-12562,273126,True
-12248,272990,-12230,273010,False
-12526,272778,-12516,272788,True
-12928,272640,-12914,272652,True
-12518,272746,-12510,272754,True
-12058,272600,-12050,272608,False
-6756,272592,-6744,272606,False
-11002,272436,-10988,272448,-1
-8292,272398,-8278,272412,False
-13986,272028,-13978,272036,True
-11376,272016,-11356,272036,True
-7802,272020,-7792,272032,True
-7836,271986,-7828,271994,False
-6754,272050,-6740,272066,False
-13788,271896,-13766,271916,False
-13658,271888,-13650,271894,False
-11536,271930,-11514,271950,True
-7404,271952,-7394,271962,False
-11448,271724,-11438,271732,False
-7728,271830,-7708,271854,False
-7346,271822,-7336,271830,True
-10916,271664,-10902,271678,True
-10266,271690,-10238,271716,True
-6210,271646,-6192,271666,False
-12240,271540,-12222,271558,True
-9412,271712,-9392,271736,False
-12918,271400,-12898,271420,False
-12184,271456,-12160,271480,True
-7694,271450,-7682,271460,True
-7074,271436,-7058,271448,True
-6710,271410,-6696,271422,True
-6418,271422,-6404,271438,False
-6388,271372,-6374,271388,True
-6032,271338,-6020,271352,False
-13236,271276,-13214,271296,False
-11216,271274,-11188,271304,-1
-8600,271268,-8578,271286,False
-7404,271294,-7384,271310,True
-7136,271312,-7118,271330,True
-5990,271310,-5974,271326,True
-12910,271178,-12898,271190,True
-9374,271160,-9362,271170,True
-7296,271170,-7282,271186,False
-6746,271160,-6736,271174,True
-6446,271152,-6432,271168,True
-6204,271176,-6190,271188,True
-5948,271234,-5938,271244,False
-5946,271172,-5934,271184,False
-10900,270944,-10884,270960,True
-10814,270950,-10794,270972,True
-10298,270956,-10288,270966,True
-9106,270994,-9094,271004,True
-5944,270990,-5932,271002,False
-13724,270816,-13716,270824,False
-11694,270932,-11684,270944,False
-10302,270898,-10292,270908,True
-5846,270948,-5826,270968,False
-5818,270886,-5798,270910,True
-11394,270692,-11386,270700,True
-6030,270766,-6018,270776,True
-9538,270590,-9524,270606,True
-8160,270632,-8148,270642,True
-12988,270464,-12968,270482,True
