-14932,271400,-14922,271410,False
-14298,271778,-14274,271802,False
-15238,270320,-15216,270338,False
-28880,269948,-28870,269958,True
-26392,269882,-26376,269898,False
-18520,269868,-18510,269878,False
-15220,269834,-15212,269842,False
-28490,269834,-28480,269844,True
-28252,269736,-28244,269744,True
-26218,269788,-26208,269796,True
-29854,269622,-29844,269632,True
-26032,269600,-26024,269608,False
-16860,269660,-16844,269676,True
-15294,269636,-15282,269650,False
-29250,269492,-29232,269510,False
-29182,269366,-29170,269378,True
-28866,269454,-28856,269462,False
-26698,269420,-26682,269434,True
-26526,269350,-26504,269368,False
-26374,269416,-26342,269448,False
-26280,269456,-26272,269466,True
-26204,269410,-26196,269420,True
-16558,269438,-16544,269448,True
-28760,269318,-28744,269334,False
-27476,269260,-27464,269270,True
-27420,269194,-27406,269208,False
-27400,269216,-27384,269234,False
-26800,269214,-26780,269232,True
-16624,269242,-16618,269248,False
-14496,269208,-14484,269220,-1
-26918,269180,-26908,269188,True
-26628,269108,-26598,269138,False
-26452,269058,-26444,269066,False
-26304,269150,-26288,269176,False
-26928,269068,-26912,269086,False
-16726,269168,-16716,269180,True
-15338,269122,-15326,269134,False
-26514,269050,-26508,269058,False
-19730,269034,-19720,269044,-1
-18546,268994,-18536,269002,True
-14438,268932,-14420,268952,True
-29026,268888,-29018,268896,False
-28956,268916,-28942,268930,True
-27984,268898,-27978,268904,False
-27474,268898,-27464,268908,True
-27340,268828,-27330,268840,False
-24972,268816,-24960,268826,True
-18668,268822,-18658,268832,False
-18464,268922,-18450,268938,False
-28362,268672,-28332,268692,True
-27284,268704,-27264,268726,False
-27128,268750,-27092,268782,-1
-26020,268700,-25998,268718,-1
-25910,268684,-25886,268710,False
-25186,268718,-25174,268726,False
-25256,268726,-25232,268750,False
-19538,268774,-19528,268786,-1
-14900,268692,-14890,268700,-1
-29792,268588,-29784,268594,False
-28238,268652,-28228,268664,True
-27548,268606,-27542,268612,False
-26924,269156,-26910,269170,True
-26116,268602,-26100,268618,False
-26416,268544,-26396,268570,False
-24172,268664,-24162,268674,True
-15408,268546,-15384,268572,True
-29870,268556,-29854,268572,True
-28484,268580,-28478,268586,False
-28482,268536,-28448,268562,True
-28318,268504,-28292,268530,False
-26836,268472,-26826,268480,False
-26570,268532,-26544,268554,False
-26004,268488,-25982,268512,-1
-25946,268484,-25922,268506,False
-24826,268518,-24814,268528,False
-20264,268504,-20256,268512,False
-15950,268424,-15934,268438,False
-29906,268368,-29894,268378,True
-27934,268378,-27908,268400,True
