                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     26,                0.15088,               0.099007,               0.016187,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.20988,                    nan,                 61.945,                      0,                0.00975,                0.00975,                0.00975
                     27,                0.15469,               0.089204,               0.016272,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.21056,                    nan,                 356.08,                      0,                0.00974,                0.00974,                0.00974
                     28,                0.15187,               0.085421,               0.014911,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.21138,                    nan,                 365.26,                      0,                0.00973,                0.00973,                0.00973
                     29,                0.15387,               0.078434,               0.014083,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.2152,                    nan,                 143.38,                      0,                0.00972,                0.00972,                0.00972
                     30,                0.15187,               0.088363,                0.01549,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.21565,                    nan,                 105.39,                      0,                0.00971,                0.00971,                0.00971
                     31,                0.15136,               0.076058,               0.014726,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.22105,                    nan,                 44.384,                      0,                 0.0097,                 0.0097,                 0.0097
                     32,                0.14937,               0.065683,               0.013417,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.22116,                    nan,                 34.548,                      0,                0.00969,                0.00969,                0.00969
                     33,                0.14942,               0.082011,               0.013558,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.21664,                0.10086,                 32.638,                      0,                0.00968,                0.00968,                0.00968
                     34,                0.14485,               0.070465,               0.013136,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.21395,                0.10086,                 20.139,                      0,                0.00967,                0.00967,                0.00967
                     35,                0.14342,               0.070395,               0.012695,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.2058,                 93.735,                0.84066,                      0,                0.00966,                0.00966,                0.00966
                     36,                0.14369,                 0.0637,               0.012238,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.20238,                 72.211,               0.066281,                      0,                0.00965,                0.00965,                0.00965
                     37,                0.14438,                0.06905,               0.011352,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.20753,                 36.557,             0.00059376,                      0,                0.00964,                0.00964,                0.00964
                     38,                0.14441,               0.084145,                0.01269,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.21274,                    nan,              0.0049159,                      0,                0.00963,                0.00963,                0.00963
                     39,                0.14158,               0.065384,               0.011494,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.21404,                    nan,              0.0027291,                      0,                0.00962,                0.00962,                0.00962
                     40,                0.14245,               0.082444,               0.012602,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  0.214,                 438.99,             0.00016481,                      0,                0.00961,                0.00961,                0.00961
                     41,                0.13985,               0.060996,               0.010612,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.21163,                    nan,             1.7023e-05,                      0,                 0.0096,                 0.0096,                 0.0096
                     42,                0.13719,                0.05778,                0.01066,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.20608,                 176.45,             0.00029198,                      0,                0.00959,                0.00959,                0.00959
                     43,                0.13877,               0.065573,               0.010372,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.20905,                  241.3,             7.8315e-05,                      0,                0.00958,                0.00958,                0.00958
                     44,                0.13638,               0.068839,                0.01268,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.21291,                    nan,             2.5451e-06,                      0,                0.00957,                0.00957,                0.00957
                     45,                0.13272,               0.062391,               0.012135,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.21175,                    nan,             3.7134e-06,                      0,                0.00956,                0.00956,                0.00956
                     46,                0.13708,               0.079127,               0.012069,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.21121,                    nan,             2.6703e-06,                      0,                0.00955,                0.00955,                0.00955
                     47,                0.13355,               0.061148,               0.012257,                      0,                      0,                      0,                      0,                      0,             0.00046926,               0.035714,             0.00033232,             3.3232e-05,                 0.1969,                    nan,             0.00098071,                      0,                0.00954,                0.00954,                0.00954
                     48,                0.13128,               0.064724,                0.01267,                      0,                      0,                      0,                      0,                      0,               0.000392,               0.035714,             0.00026637,             2.6637e-05,                0.19537,                    nan,              0.0009603,                      0,                0.00953,                0.00953,                0.00953
                     49,                0.13422,               0.061715,               0.012527,                      0,             0.00034264,               0.071429,             0.00026081,             0.00011269,             0.00034264,               0.071429,             0.00029203,             2.9203e-05,                0.16247,                 52.973,              0.0040712,                      0,                0.00952,                0.00952,                0.00952
                     50,                0.13385,               0.061371,               0.011026,                      0,             0.00048757,                0.10714,             0.00035952,             0.00010477,             0.00048757,                0.10714,             0.00037356,             0.00010849,                0.15437,                 15.972,              0.0047791,                      0,                0.00951,                0.00951,                0.00951
                     51,                0.12845,               0.057898,               0.012545,                      0,             0.00063898,                0.14286,             0.00053945,             0.00015629,             0.00079872,                0.17857,             0.00058113,             0.00016101,                 0.1496,                 12.984,              0.0050392,                      0,                 0.0095,                 0.0095,                 0.0095
                     52,                0.13055,               0.063473,               0.011087,                      0,              0.0015873,                0.35714,               0.001439,              0.0004841,              0.0019048,                0.42857,              0.0020676,             0.00053955,                0.11165,                 2.5141,              0.0091791,                      0,                0.00949,                0.00949,                0.00949
                     53,                0.12599,               0.052015,               0.013513,                      0,              0.0015873,                0.35714,              0.0054421,              0.0012121,              0.0019048,                0.42857,              0.0025331,              0.0006905,               0.098629,                0.06126,               0.010523,                      0,                0.00948,                0.00948,                0.00948
                     54,                0.12108,               0.048311,               0.012268,                      0,              0.0020635,                0.46429,               0.090972,               0.033661,               0.002381,                0.53571,               0.094765,               0.025848,                0.10083,               0.063911,              0.0098093,                      0,                0.00947,                0.00947,                0.00947
                     55,                0.12381,               0.068752,               0.015722,                      0,              0.0025397,                0.57143,                0.13244,               0.063086,              0.0026984,                0.60714,                0.11692,               0.031396,               0.096803,               0.062123,               0.010474,                      0,                0.00946,                0.00946,                0.00946
                     56,                0.12888,               0.048496,               0.011181,                      0,              0.0028571,                0.64286,               0.024196,              0.0088641,              0.0030159,                0.67857,               0.023321,              0.0073741,               0.093868,               0.061205,               0.011016,                      0,                0.00945,                0.00945,                0.00945
                     57,                0.13157,               0.055905,               0.013196,                      0,              0.0025397,                0.57143,               0.015603,              0.0053214,              0.0025397,                0.57143,               0.015047,              0.0051696,                0.10494,                  1.223,              0.0095636,                      0,                0.00944,                0.00944,                0.00944
                     58,                0.12437,               0.057113,               0.014928,                      0,              0.0028571,                0.64286,               0.010582,              0.0028921,              0.0026984,                0.60714,               0.010537,              0.0039412,                0.10629,                 1.7833,              0.0093841,                      0,                0.00943,                0.00943,                0.00943
                     59,                0.12105,               0.061569,               0.016471,                      0,              0.0031746,                0.71429,              0.0096096,              0.0026385,              0.0030159,                0.67857,               0.027088,              0.0074828,                0.10279,                0.56103,              0.0096524,                      0,                0.00942,                0.00942,                0.00942
                     60,                0.12636,               0.055018,               0.013856,                      0,              0.0030159,                0.67857,               0.013282,              0.0035999,              0.0031746,                0.71429,                 0.0515,                0.01866,               0.097776,                0.17031,               0.010393,                      0,                0.00941,                0.00941,                0.00941
                     61,                0.12334,               0.089851,               0.013301,                      0,               0.002381,                0.53571,               0.012325,              0.0042042,              0.0025397,                0.57143,               0.040395,               0.013438,                0.11687,                0.23221,              0.0086063,                      0,                 0.0094,                 0.0094,                 0.0094
                     62,                0.12846,               0.058391,               0.015249,                      0,              0.0025397,                0.57143,               0.012991,              0.0040222,              0.0022222,                    0.5,              0.0093438,              0.0034973,                0.12923,                0.51419,               0.007101,                      0,                0.00939,                0.00939,                0.00939
                     63,                0.12869,               0.077524,               0.014136,                      0,             0.00079365,                0.17857,             0.00081607,             0.00033133,             0.00079365,                0.17857,             0.00082387,             0.00035887,                0.11983,               0.074008,              0.0069765,                      0,                0.00938,                0.00938,                0.00938
                     64,                0.12369,               0.050361,               0.010409,                      0,              0.0016423,                0.35714,              0.0049878,              0.0018688,              0.0011496,                   0.25,              0.0041959,              0.0011291,                0.15346,                 1.7724,              0.0043461,                      0,                0.00937,                0.00937,                0.00937
                     65,                0.12468,               0.053988,               0.012678,                      0,              0.0020635,                0.46429,               0.013103,              0.0034157,               0.001746,                0.39286,               0.011375,              0.0038023,                0.13558,                0.89416,              0.0059634,                      0,                0.00936,                0.00936,                0.00936
                     66,                0.12092,               0.050506,               0.013923,                      0,              0.0026984,                0.60714,               0.012324,              0.0030681,              0.0025397,                0.57143,              0.0093114,              0.0020584,                 0.1228,                0.33283,              0.0072645,                      0,                0.00935,                0.00935,                0.00935
                     67,                0.11569,               0.041031,               0.012207,                      0,              0.0011703,                0.21429,              0.0018914,             0.00057874,             0.00078018,                0.14286,              0.0018573,             0.00037531,                0.16688,                 4.3079,              0.0023816,                      0,                0.00934,                0.00934,                0.00934
                     68,                0.12214,               0.055981,               0.012912,                      0,              0.0019629,                0.39286,               0.007996,              0.0020558,              0.0019629,                0.39286,              0.0078276,              0.0017877,                0.14529,                 1.5135,              0.0046244,                      0,                0.00933,                0.00933,                0.00933
                     69,                0.11336,               0.050019,               0.013872,                      0,              0.0025397,                0.57143,               0.010251,              0.0017444,              0.0015873,                0.35714,              0.0067427,              0.0019266,                0.12081,                0.16046,              0.0069861,                      0,                0.00932,                0.00932,                0.00932
                     70,                0.12087,               0.056736,                0.01306,                      0,              0.0026984,                0.60714,               0.018094,              0.0030021,              0.0025397,                0.57143,               0.016344,              0.0049725,                 0.1079,                 0.0917,              0.0086905,                      0,                0.00931,                0.00931,                0.00931
                     71,                 0.1146,               0.048322,               0.014794,                      0,              0.0033333,                   0.75,               0.010124,              0.0029077,              0.0025397,                0.57143,              0.0077326,              0.0025885,               0.097531,                0.06334,               0.010099,                      0,                 0.0093,                 0.0093,                 0.0093
                     72,                0.11706,               0.047409,               0.016323,                      0,              0.0026984,                0.60714,              0.0028518,             0.00072202,              0.0015873,                0.35714,              0.0014552,             0.00064088,               0.099597,               0.073981,               0.010429,                      0,                0.00929,                0.00929,                0.00929
                     73,                0.11049,               0.080181,               0.016528,                      0,              0.0025397,                0.57143,              0.0034313,              0.0012246,              0.0019048,                0.42857,              0.0027218,             0.00072758,               0.099205,               0.065261,               0.010242,                      0,                0.00928,                0.00928,                0.00928
                     74,                0.11169,               0.050793,               0.016601,                      0,              0.0026984,                0.60714,               0.023464,              0.0058795,              0.0019048,                0.42857,              0.0070806,               0.002195,                0.10244,               0.069299,              0.0096451,                      0,                0.00927,                0.00927,                0.00927
                     75,                0.10852,               0.049544,               0.016217,                      0,               0.001746,                0.39286,              0.0019146,             0.00049405,             0.00095238,                0.21429,             0.00091686,             0.00030071,                 0.1252,                0.20287,              0.0062822,                      0,                0.00926,                0.00926,                0.00926
                     76,                0.11849,               0.050361,               0.014797,                      0,              0.0022222,                    0.5,              0.0041834,              0.0012552,             0.00079365,                0.17857,             0.00084107,             0.00027895,                0.12874,                 0.3413,               0.005931,                      0,                0.00925,                0.00925,                0.00925
                     77,               0.095205,               0.039157,               0.014019,                      0,              0.0014286,                0.32143,               0.021394,               0.010316,             0.00079365,                0.17857,               0.020293,              0.0077298,                0.14651,                 0.6947,              0.0041737,                      0,                0.00924,                0.00924,                0.00924
                     78,                0.10231,               0.038412,               0.014633,                      0,              0.0014295,                0.32143,               0.010722,              0.0031864,             0.00095299,                0.21429,              0.0095028,                0.00358,                0.14858,                 0.7509,              0.0038805,                      0,                0.00923,                0.00923,                0.00923
                     79,                 0.1082,               0.044044,               0.016448,                      0,              0.0094292,                   0.25,               0.046371,              0.0061726,              0.0040411,                0.10714,               0.040133,               0.019772,                0.14647,                 1.3303,                0.00425,                      0,                0.00922,                0.00922,                0.00922
                     80,                0.11437,               0.051531,               0.018923,                      0,                0.04257,                0.10714,               0.055932,               0.010099,                0.02838,               0.071429,                0.05019,                0.01724,                0.14562,                 1.3476,              0.0043531,                      0,                0.00921,                0.00921,                0.00921
                     81,                0.10862,               0.046686,                0.01449,                      0,              0.0022222,                    0.5,               0.060523,               0.012705,              0.0025397,                0.57143,               0.071285,               0.028085,                0.11485,                0.58933,              0.0079595,                      0,                 0.0092,                 0.0092,                 0.0092
                     82,                0.10266,               0.040148,               0.018638,                      0,              0.0028571,                0.64286,               0.028478,              0.0084268,              0.0025397,                0.57143,               0.028165,              0.0065552,                0.11049,                0.45112,              0.0083847,                      0,                0.00919,                0.00919,                0.00919
                     83,                0.10215,                0.04048,               0.019525,                      0,              0.0025397,                0.57143,               0.029895,               0.013547,              0.0025397,                0.57143,               0.015638,              0.0047517,                0.10884,                0.72723,              0.0085409,                      0,                0.00918,                0.00918,                0.00918
                     84,                0.10515,               0.039772,               0.016434,                      0,              0.0030159,                0.67857,               0.024606,              0.0097625,              0.0031746,                0.71429,               0.026369,              0.0075897,               0.098137,                0.16384,               0.010099,                      0,                0.00917,                0.00917,                0.00917
                     85,                0.10699,               0.047183,               0.014733,                      0,              0.0036508,                0.82143,               0.020383,              0.0074465,              0.0030159,                0.67857,                0.01476,              0.0065373,               0.085819,               0.060974,               0.011991,                      0,                0.00916,                0.00916,                0.00916
                     86,                0.10112,               0.040188,               0.014153,                      0,              0.0033333,                   0.75,                 0.0216,              0.0051364,              0.0025397,                0.57143,              0.0084698,              0.0028881,               0.089425,               0.072065,               0.011441,                      0,                0.00915,                0.00915,                0.00915
                     87,                0.10648,               0.048812,               0.016254,                      0,              0.0036508,                0.82143,               0.023516,              0.0054896,              0.0030159,                0.67857,               0.019487,              0.0049925,               0.082105,               0.056818,               0.012695,                      0,                0.00914,                0.00914,                0.00914
                     88,               0.084283,               0.037045,               0.015899,                      0,              0.0036508,                0.82143,               0.023379,              0.0069578,              0.0038095,                0.85714,               0.022357,               0.005316,                0.07815,               0.054963,               0.013552,                      0,                0.00913,                0.00913,                0.00913
                     89,                0.10285,               0.040417,               0.018386,                      0,               0.026585,                0.42857,               0.043791,               0.020441,               0.024369,                0.39286,               0.041674,              0.0099877,               0.076292,               0.056487,               0.013998,                      0,                0.00912,                0.00912,                0.00912
                     90,                0.10556,               0.045313,                0.01672,                      0,               0.039414,                0.35714,               0.058006,               0.023101,              0.0030159,                0.67857,               0.018445,              0.0047966,                0.08238,               0.064356,               0.012828,                      0,                0.00911,                0.00911,                0.00911
                     91,                0.10828,               0.047522,               0.016991,                      0,                0.13496,               0.071429,               0.053351,               0.018728,               0.030689,                0.17857,               0.022065,              0.0060471,               0.085866,               0.068299,               0.011926,                      0,                 0.0091,                 0.0091,                 0.0091
                     92,                0.10193,               0.032032,               0.013838,                      0,                0.28038,                0.11165,                0.16567,               0.045137,                0.27656,                0.10714,                0.15488,               0.055981,               0.080715,               0.055132,                 0.0134,                      0,                0.00909,                0.00909,                0.00909
