-4882,276008,-4860,276032,False
-7322,275590,-7310,275602,False
-4114,276104,-4094,276128,-1
-4664,275918,-4656,275932,False
-5552,274958,-5542,274968,-1
-5010,274976,-4998,274990,False
-11418,274808,-11394,274830,True
-8592,274866,-8584,274876,True
-11444,274772,-11418,274794,True
-8184,274686,-8168,274704,False
-5418,274706,-5404,274720,False
-9334,274622,-9324,274634,False
-7580,275030,-7568,275038,True
-9602,274898,-9582,274910,-1
-7440,274164,-7410,274190,False
-9772,274100,-9760,274114,False
-8996,273952,-8988,273958,True
-8662,273890,-8654,273898,False
-12720,273736,-12710,273746,False
-8752,273722,-8744,273732,False
-7504,273718,-7492,273730,False
-12352,273538,-12336,273558,False
-12058,273448,-12042,273464,True
-11214,273446,-11204,273456,False
-13048,273164,-13038,273172,True
-10642,273620,-10632,273628,True
-7492,272906,-7482,272918,False
-12524,272778,-12516,272788,False
-7658,272626,-7646,272636,True
-6752,272512,-6740,272526,False
-4314,272512,-4298,272526,False
-11582,272398,-11574,272406,False
-9154,272456,-9140,272470,False
-8488,272350,-8476,272362,False
-8240,272716,-8230,272726,False
-7482,271842,-7472,271858,False
-11448,271722,-11438,271732,True
-8858,272212,-8844,272222,False
-7632,271698,-7604,271724,False
-8386,271498,-8378,271506,False
-8096,271616,-8084,271632,False
-7694,271450,-7682,271462,True
-11860,271240,-11844,271260,True
-8820,271244,-8808,271256,False
-7138,271312,-7120,271328,False
-5580,271816,-5564,271834,False
-4034,271302,-4024,271314,False
-9194,270756,-9178,270772,False
-5860,271316,-5838,271326,False
-7296,271168,-7278,271188,False
-7008,270602,-7000,270610,False
-7784,270320,-7770,270336,True
-4282,270414,-4272,270426,False
-9152,270184,-9144,270192,True
-7728,270272,-7708,270290,True
-7768,270298,-7752,270312,True
-5584,270280,-5560,270310,True
-4544,270198,-4534,270208,False
-11230,270672,-11198,270686,True
-4784,270022,-4774,270044,True
-10224,269816,-10216,269822,False
-10020,269868,-10006,269880,False
-7210,269874,-7198,269886,False
-10926,269574,-10918,269586,False
-7690,269638,-7676,269650,False
-7726,269568,-7702,269586,False
-5706,269638,-5690,269656,False
-12172,269412,-12166,269420,False
-11960,270028,-11952,270042,True
-10724,269496,-10714,269502,False
-5658,270026,-5636,270046,False
-12804,269352,-12792,269364,-1
-7178,269304,-7140,269332,False
-7160,269236,-7154,269244,True
-7024,269252,-7008,269266,True
-5318,269196,-5310,269204,False
-8320,269392,-8310,269404,False
-4892,268644,-4882,268654,False
1120,268734,1128,268746,False
-13898,268544,-13882,268556,False
-11966,268556,-11952,268570,False
-7282,268518,-7270,268528,False
-4924,269000,-4914,269012,False
548,268540,568,268560,False
1338,268632,1358,268654,True
-5716,268512,-5706,268524,True
-10414,268150,-10400,268162,False
1388,268604,1394,268610,False
-13430,268152,-13418,268164,False
-6190,268024,-6180,268034,False
1436,268110,1448,268124,False
-13252,267940,-13244,267950,False
-12054,268492,-12042,268504,False
-10250,267924,-10238,267936,True
-9024,267928,-9012,267936,False
-9000,267950,-8982,267968,True
-2864,267968,-2842,267992,-1
-1324,267914,-1310,267932,False
-13920,267838,-13906,267850,-1
-3760,267754,-3748,267768,False
-9176,267674,-9166,267684,False
-7610,267722,-7600,267734,True
-4272,267596,-4260,267608,False
-3132,267548,-3118,267560,False
-1956,267592,-1950,267600,False
2182,267688,2192,267700,-1
-10238,267404,-10228,267412,False
-4732,267452,-4722,267462,False
-1548,267464,-1538,267472,True
1832,267400,1842,267410,False
-9986,267306,-9976,267318,True
-2146,267216,-2134,267228,False
-1916,267138,-1908,267146,True
-540,267180,-518,267202,True
-546,267144,-522,267164,True
224,267124,234,267134,True
2482,267162,2492,267172,True
3414,267102,3426,267112,True
-6764,267044,-6740,267068,False
-1644,266990,-1628,267004,True
1944,266990,1962,267008,True
-10518,266938,-10508,266950,False
-10160,266954,-10146,266966,-1
-8950,266912,-8944,266918,True
-1910,266846,-1890,266868,True
-1860,266870,-1844,266886,True
-1648,266914,-1640,266922,True
158,266850,176,266870,True
1680,266886,1696,266904,True
1718,266922,1738,266940,False
2644,266882,2660,266900,True
3010,266958,3024,266980,True
3102,266856,3142,266894,True
-9368,266824,-9356,266836,True
-2176,266722,-2158,266742,False
1168,266746,1180,266756,True
-10530,266636,-10520,266644,-1
-8168,267220,-8154,267230,False
628,266672,634,266678,False
1128,266710,1144,266726,True
-8746,266468,-8732,266486,True
-2322,266406,-2294,266432,True
-150,266462,-134,266474,False
36,266420,52,266436,True
3522,266434,3534,266444,False
-2858,266828,-2848,266836,-1
-1900,266520,-1890,266530,True
1792,266274,1800,266286,True
-10998,266120,-10988,266130,False
-10368,266700,-10354,266714,False
-9430,266158,-9420,266170,False
2178,266108,2194,266124,True
1998,265994,2016,266012,-1
-10426,265852,-10414,265862,False
-3744,265914,-3736,265922,False
308,265860,324,265878,True
776,265920,796,265938,True
990,265940,1006,265958,False
1346,265912,1360,265926,True
1402,265840,1412,265852,True
-436,265738,-422,265750,False
-84,266184,-74,266194,False
2620,265770,2632,265780,True
3020,265796,3042,265818,True
3372,265720,3390,265736,True
4874,265718,4886,265730,False
-8588,265576,-8580,265582,True
-8180,265664,-8174,265670,False
-3548,265568,-3530,265588,False
-3466,265594,-3452,265606,False
4976,265626,4998,265646,True
5130,265698,5138,265708,True
-7660,265432,-7648,265442,True
-6994,265396,-6980,265410,False
212,265330,224,265340,False
354,265330,378,265354,False
5164,265906,5180,265926,True
-4198,265194,-4184,265210,False
634,265266,646,265278,True
1426,265206,1438,265220,False
2000,265266,2018,265286,True
